county,office,district_num_x,dem_candidate,two_party_vtshare,county_num_x,office_x,med_two_party_vtshare,pro_gun_control,pro_choice,pro_climate,candidate_male,candidate_hispanic,candidate_female,county_num_y,urban,border,population,percent_female,percent_hispanic,veterans_per_1000,crimes_per_1000
GRAY,president,,Hillary Clinton,0.10,,president,,1,1,1,0,0,1,,,0,,,,,
GRAYSON,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,,,,,
GREGG,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,125907,0.50556363,0.213594161,70.82,48.014
GRIMES,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,,,,,
GUADALUPE,president,,Hillary Clinton,0.33,,president,,1,1,1,0,0,1,,,0,156046,0.514015098,0.37883701,137.36,20.902
HALE,president,,Hillary Clinton,0.25,,president,,1,1,1,0,0,1,,,0,,,,,
HALL,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,,,,,
HAMILTON,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,8686,0.500115128,0.118466498,96.04,23.768
HANSFORD,president,,Hillary Clinton,0.09,,president,,1,1,1,0,0,1,,,0,,,,,
HARDEMAN,president,,Hillary Clinton,0.17,,president,,1,1,1,0,0,1,,,0,,,,,
HARDIN,president,,Hillary Clinton,0.12,,president,,1,1,1,0,0,1,,,0,58206,0.506494176,0.05638594,78.17,17.713
HARRIS,president,,Hillary Clinton,0.56,,president,,1,1,1,0,0,1,,,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRISON,president,,Hillary Clinton,0.28,,president,,1,1,1,0,0,1,,,0,68716,0.502532161,0.145264567,69.43,26.614
HARTLEY,president,,Hillary Clinton,0.09,,president,,1,1,1,0,0,1,,,0,,,,,
HASKELL,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
HAYS,president,,Hillary Clinton,0.50,,president,,1,1,1,0,0,1,,,0,201588,0.507108558,0.391000456,77.62,22.635
HEMPHILL,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
HENDERSON,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,,,,,
HIDALGO,president,,Hillary Clinton,0.71,,president,,1,1,1,0,0,1,,,1,855229,0.509989722,0.909510786,27.78,39.746
HILL,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,35785,0.501355316,0.20891435,80.6,24.53
HOCKLEY,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
HOOD,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,,,,,
HOPKINS,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,,,,,
HOUSTON,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,,,,,
HOWARD,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,,,,,
HUDSPETH,president,,Hillary Clinton,0.39,,president,,1,1,1,0,0,1,,,1,3673,0.490062619,0.801524639,42.58,7.867
HUNT,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,,,,,
HUTCHINSON,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
IRION,president,,Hillary Clinton,0.12,,president,,1,1,1,0,0,1,,,0,,,,,
JACK,president,,Hillary Clinton,0.10,,president,,1,1,1,0,0,1,,,0,,,,,
JACKSON,president,,Hillary Clinton,0.17,,president,,1,1,1,0,0,1,,,0,14762,0.504741905,0.320010839,66.71,17.246
JASPER,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,35572,0.505509952,0.066512988,71.88,29.58
JEFF DAVIS,president,,Hillary Clinton,0.38,,president,,1,1,1,0,0,1,,,1,,,,,
JEFFERSON,president,,Hillary Clinton,0.50,,president,,1,1,1,0,0,1,,,0,248797,0.484205999,0.210448679,68.08,48.18
JIM HOGG,president,,Hillary Clinton,0.79,,president,,1,1,1,0,0,1,,,1,,,,,
JIM WELLS,president,,Hillary Clinton,0.55,,president,,1,1,1,0,0,1,,,0,,,,,
JOHNSON,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,165405,0.501061032,0.222236329,73.14,23.529
JONES,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,,,,,
KARNES,president,,Hillary Clinton,0.28,,president,,1,1,1,0,0,1,,,0,15510,0.403546099,0.507865893,54.03,29.355
KAUFMAN,president,,Hillary Clinton,0.26,,president,,1,1,1,0,0,1,,,0,,,,,
KENDALL,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,42324,0.520981004,0.221529156,96.26,17.358
KENEDY,president,,Hillary Clinton,0.54,,president,,1,1,1,0,0,1,,,1,418,0.480861244,0.758373206,31.25,29.68
KENT,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,,,,,
KERR,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,51631,0.514710155,0.266797079,114.34,22.145
KIMBLE,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
KING,president,,Hillary Clinton,0.03,,president,,1,1,1,0,0,1,,,0,,,,,
KINNEY,president,,Hillary Clinton,0.33,,president,,1,1,1,0,0,1,,,1,3710,0.457142857,0.599730458,97,2.067
KLEBERG,president,,Hillary Clinton,0.52,,president,,1,1,1,0,0,1,,,0,31462,0.488589409,0.713273155,64.47,39.299
KNOX,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,,,,,
LAMAR,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
LAMB,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
LAMPASAS,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,20899,0.504569597,0.206564907,161.2,23.724
LASALLE,president,,Hillary Clinton,0.56,,president,,1,1,1,0,0,1,,,1,,,,,
LAVACA,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,19709,0.504794764,0.186513775,68.58,17.003
LEE,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,17092,0.495611982,0.245670489,74.28,23.641
LEON,president,,Hillary Clinton,0.12,,president,,1,1,1,0,0,1,,,0,17407,0.495145631,0.159016488,92.85,14.879
LIBERTY,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,80699,0.507763417,0.221626042,68.43,36.232
LIMESTONE,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,24012,0.477136432,0.222555389,66.67,30.634
LIPSCOMB,president,,Hillary Clinton,0.10,,president,,1,1,1,0,0,1,,,0,,,,,
LIVE OAK,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
LLANO,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
LOVING,president,,Hillary Clinton,0.06,,president,,1,1,1,0,0,1,,,0,81,0.456790123,0.209876543,48.78,147.06
LUBBOCK,president,,Hillary Clinton,0.30,,president,,1,1,1,0,0,1,,,0,,,,,
LYNN,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,,,,,
MADISON,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,,,,,
MARION,president,,Hillary Clinton,0.28,,president,,1,1,1,0,0,1,,,0,,,,,
MARTIN,president,,Hillary Clinton,0.15,,president,,1,1,1,0,0,1,,,1,,,,,
MASON,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
MATAGORDA,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,36489,0.495025898,0.417769739,65.31,34.499
MAVERICK,president,,Hillary Clinton,0.79,,president,,1,1,1,0,0,1,,,0,56956,0.50712831,0.952805675,23.07,25.225
MCCULLOCH,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,,,,,
MCLENNAN,president,,Hillary Clinton,0.36,,president,,1,1,1,0,0,1,,,0,251352,0.509775136,0.274634775,69.29,38.992
MCMULLEN,president,,Hillary Clinton,0.08,,president,,1,1,1,0,0,1,,,1,866,0.490762125,0.407621247,63.65,54.496
MEDINA,president,,Hillary Clinton,0.28,,president,,1,1,1,0,0,1,,,0,50502,0.491188468,0.517167637,93.57,11.971
MENARD,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
MIDLAND,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,,,,,
MILAM,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,24445,0.501411332,0.264880344,74.85,24.129
MILLS,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
MITCHELL,president,,Hillary Clinton,0.17,,president,,1,1,1,0,0,1,,,0,,,,,
MONTAGUE,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
MONTGOMERY,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,,,,,
MOORE,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,,,,,
MORRIS,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,,,,,
MOTLEY,president,,Hillary Clinton,0.07,,president,,1,1,1,0,0,1,,,0,,,,,
NACOGDOCHES,president,,Hillary Clinton,0.32,,president,,1,1,1,0,0,1,,,0,65596,0.51501616,0.209220074,52.96,29.661
NAVARRO,president,,Hillary Clinton,0.25,,president,,1,1,1,0,0,1,,,0,49338,0.498804167,0.277189996,65.74,38.032
NEWTON,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,13969,0.48120839,0.030352924,80.1,7.117
NOLAN,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,,,,,
NUECES,president,,Hillary Clinton,0.49,,president,,1,1,1,0,0,1,,,0,361556,0.505996305,0.639062828,81.91,50.744
OCHILTREE,president,,Hillary Clinton,0.09,,president,,1,1,1,0,0,1,,,0,,,,,
OLDHAM,president,,Hillary Clinton,0.08,,president,,1,1,1,0,0,1,,,0,,,,,
ORANGE,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,84219,0.499091654,0.07617046,86.71,30.425
PALO PINTO,president,,Hillary Clinton,0.17,,president,,1,1,1,0,0,1,,,0,,,,,
PANOLA,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,24145,0.499109546,0.098819631,68.79,32.602
PARKER,president,,Hillary Clinton,0.15,,president,,1,1,1,0,0,1,,,0,132602,0.501387611,0.139273917,87.27,16.462
PARMER,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
PECOS,president,,Hillary Clinton,0.39,,president,,1,1,1,0,0,1,,,1,15908,0.438898667,0.696630626,50.49,28.708
POLK,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,48271,0.463073067,0.149924385,85.9,27.051
POTTER,president,,Hillary Clinton,0.28,,president,,1,1,1,0,0,1,,,0,,,,,
PRESIDIO,president,,Hillary Clinton,0.69,,president,,1,1,1,0,0,1,,,1,7518,0.511173184,0.836525672,40.04,3.09
RAINS,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,,,,,
RANDALL,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,,,,,
REAGAN,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,3685,0.471370421,0.642605156,35.05,0.566
REAL,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,1,3462,0.506932409,0.266031196,121.18,4.703
RED RIVER,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,,,,,
REEVES,president,,Hillary Clinton,0.54,,president,,1,1,1,0,0,1,,,1,14576,0.40312843,0.759742042,32.79,18.977
REFUGIO,president,,Hillary Clinton,0.36,,president,,1,1,1,0,0,1,,,0,7375,0.499118644,0.500474576,72.6,15.014
ROBERTS,president,,Hillary Clinton,0.04,,president,,1,1,1,0,0,1,,,0,,,,,
ROBERTSON,president,,Hillary Clinton,0.32,,president,,1,1,1,0,0,1,,,0,17518,0.502625871,0.211382578,62.45,22.169
ROCKWALL,president,,Hillary Clinton,0.25,,president,,1,1,1,0,0,1,,,0,,,,,
RUNNELS,president,,Hillary Clinton,0.12,,president,,1,1,1,0,0,1,,,0,,,,,
RUSK,president,,Hillary Clinton,0.21,,president,,1,1,1,0,0,1,,,0,53886,0.472089225,0.179174554,64.49,32.726
SABINE,president,,Hillary Clinton,0.13,,president,,1,1,1,0,0,1,,,0,11060,0.507142857,0.040144665,116.95,20.365
SAN AUGUSTINE,president,,Hillary Clinton,0.26,,president,,1,1,1,0,0,1,,,0,,,,,
SAN JACINTO,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
SAN PATRICIO,president,,Hillary Clinton,0.38,,president,,1,1,1,0,0,1,,,0,,,,,
SAN SABA,president,,Hillary Clinton,0.13,,president,,1,1,1,0,0,1,,,0,,,,,
SCHLEICHER,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,3172,0.499054224,0.446721311,54.32,4.683
SCURRY,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,,,,,
SHACKELFORD,president,,Hillary Clinton,0.07,,president,,1,1,1,0,0,1,,,0,,,,,
SHELBY,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,25438,0.50031449,0.199308122,59.61,23.208
SHERMAN,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
SMITH,president,,Hillary Clinton,0.27,,president,,1,1,1,0,0,1,,,0,224401,0.512413046,0.21104184,69.29,32.571
SOMERVELL,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,9000,0.509888889,0.225888889,79.15,11.657
STARR,president,,Hillary Clinton,0.81,,president,,1,1,1,0,0,1,,,1,64071,0.514569774,0.950351953,13.12,18.96
STEPHENS,president,,Hillary Clinton,0.10,,president,,1,1,1,0,0,1,,,0,,,,,
STERLING,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
STONEWALL,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
SUTTON,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,1,4039,0.500866551,0.61648923,44.82,5.852
SWISHER,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,,,,,
TARRANT,president,,Hillary Clinton,0.45,,president,,1,1,1,0,0,1,,,0,1984677,0.508173874,0.304888402,67.34,40.661
TAYLOR,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,,,,,
TERRELL,president,,Hillary Clinton,0.33,,president,,1,1,1,0,0,1,,,1,853,0.492379836,0.47010551,121.95,10.078
TERRY,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,,,,,
THROCKMORTON,president,,Hillary Clinton,0.11,,president,,1,1,1,0,0,1,,,0,,,,,
TITUS,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,,,,,
TOM GREEN,president,,Hillary Clinton,0.25,,president,,1,1,1,0,0,1,,,0,,,,,
TRAVIS,president,,Hillary Clinton,0.71,,president,,1,1,1,0,0,1,,,0,1194552,0.496063796,0.354097603,51.94,44.537
TRINITY,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
TYLER,president,,Hillary Clinton,0.16,,president,,1,1,1,0,0,1,,,0,22003,0.442985047,0.076398673,78.15,15.151
UPSHUR,president,,Hillary Clinton,0.15,,president,,1,1,1,0,0,1,,,0,40795,0.504988356,0.08912857,78.2,25.529
UPTON,president,,Hillary Clinton,0.22,,president,,1,1,1,0,0,1,,,0,3573,0.493422894,0.527287993,47.99,5.807
UVALDE,president,,Hillary Clinton,0.44,,president,,1,1,1,0,0,1,,,1,3573,0.493422894,0.527287993,47.99,5.807
VAL VERDE,president,,Hillary Clinton,0.54,,president,,1,1,1,0,0,1,,,1,,,,,
VAN ZANDT,president,,Hillary Clinton,0.13,,president,,1,1,1,0,0,1,,,0,,,,,
VICTORIA,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,92313,0.510155666,0.472219514,77.73,38.752
WALKER,president,,Hillary Clinton,0.32,,president,,1,1,1,0,0,1,,,0,,,,,
WALLER,president,,Hillary Clinton,0.35,,president,,1,1,1,0,0,1,,,0,49448,0.506532115,0.346990778,51.29,19.863
WARD,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,11181,0.510956086,0.502548967,66.43,40.036
WASHINGTON,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,35265,0.501488728,0.169261307,60.98,20.581
WEBB,president,,Hillary Clinton,0.77,,president,,1,1,1,0,0,1,,,1,275040,0.508689645,0.958562391,23.11,45.684
WHARTON,president,,Hillary Clinton,0.29,,president,,1,1,1,0,0,1,,,0,41103,0.505364572,0.402647009,49.61,27.847
WHEELER,president,,Hillary Clinton,0.09,,president,,1,1,1,0,0,1,,,0,,,,,
WICHITA,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,,0,,,,,
WILBARGER,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
WILLACY,president,,Hillary Clinton,0.69,,president,,1,1,1,0,0,1,,,1,22016,0.453670058,0.879678416,35.1,41.067
WILLIAMSON,president,,Hillary Clinton,0.45,,president,,1,1,1,0,0,1,,,0,514534,0.517034832,0.264738579,83.36,15.546
WILSON,president,,Hillary Clinton,0.25,,president,,1,1,1,0,0,1,,,0,48676,0.50143808,0.394280549,103.38,14.005
WINKLER,president,,Hillary Clinton,0.23,,president,,1,1,1,0,0,1,,,0,7908,0.490895296,0.556904401,53.87,14.771
WISE,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,64218,0.499563985,0.217026379,80.03,14.952
WOOD,president,,Hillary Clinton,0.14,,president,,1,1,1,0,0,1,,,0,44003,0.507260869,0.099856828,104.92,26.503
YOAKUM,president,,Hillary Clinton,0.19,,president,,1,1,1,0,0,1,,,0,,,,,
YOUNG,president,,Hillary Clinton,0.12,,president,,1,1,1,0,0,1,,,0,,,,,
ZAPATA,president,,Hillary Clinton,0.67,,president,,1,1,1,0,0,1,,,1,14237,0.493643324,0.944510782,26.25,36.398
ZAVALA,president,,Hillary Clinton,0.79,,president,,1,1,1,0,0,1,,,1,12001,0.504291309,0.942671444,27.15,17.28